#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06587e-06   2.20925e-11       2.52937
         0.02   1.01894e-05   4.65429e-12       4.32608
         0.03   1.30262e-05   3.13896e-11       5.51542
         0.04   9.14705e-06   5.47121e-11       6.19101
         0.05   5.21266e-11   6.16256e-11       6.40985
         0.06  -9.14696e-06   5.20036e-11       6.19101
         0.07  -1.30262e-05   2.62983e-11       5.51542
         0.08  -1.01893e-05   -2.3916e-12       4.32608
         0.09  -4.06588e-06   1.24339e-11       2.52937
          0.1             0             0             0
