#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06586e-06   1.58198e-11       2.52937
         0.02   1.01892e-05  -2.44699e-11       4.32608
         0.03   1.30259e-05  -3.85288e-11       5.51542
         0.04   9.14681e-06   -2.5594e-11       6.19101
         0.05  -2.36735e-11  -4.24491e-12       6.40985
         0.06  -9.14686e-06   1.57252e-12       6.19101
         0.07   -1.3026e-05   -1.3354e-11       5.51542
         0.08  -1.01893e-05  -2.89812e-11       4.32608
         0.09  -4.06588e-06  -5.09337e-12       2.52937
          0.1             0             0             0
