#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06654e-06   5.27096e-13       2.52937
         0.02   1.01913e-05   5.21393e-10       4.32608
         0.03    1.3028e-05     6.019e-10       5.51542
         0.04   9.14827e-06   5.34969e-10       6.19101
         0.05   6.12777e-10   4.99378e-10       6.40985
         0.06  -9.14699e-06   5.11232e-10       6.19101
         0.07  -1.30267e-05    5.4192e-10       5.51542
         0.08  -1.01903e-05   4.47994e-10       4.32608
         0.09  -4.06625e-06  -2.82436e-11       2.52937
          0.1             0             0             0
