#           x             y             z           U_x           U_y           U_z
  3.22679e-18             0             8             0             0             0
         0.01          0.01             8             0             0             0
         0.01          0.01             8             0             0             0
         0.02          0.02             8             0             0             0
         0.02          0.02             8             0             0             0
         0.03          0.03             8             0             0             0
         0.03          0.03             8             0             0             0
         0.04          0.04             8             0             0             0
         0.04          0.04             8             0             0             0
         0.05          0.05             8             0             0             0
         0.05          0.05             8             0             0             0
         0.06          0.06             8             0             0             0
         0.06          0.06             8             0             0             0
         0.07          0.07             8             0             0             0
         0.07          0.07             8             0             0             0
         0.08          0.08             8             0             0             0
         0.08          0.08             8             0             0             0
         0.09          0.09             8             0             0             0
         0.09          0.09             8             0             0             0
          0.1           0.1             8             0             0             0
