#           x           U_x           U_y           U_z
         0.01             0             0       2.24435
         0.02             0             0        3.9819
         0.03             0             0       5.14027
         0.04             0             0       5.71945
         0.05             0             0       5.86425
         0.06             0             0       5.71945
         0.07             0             0       5.14027
         0.08             0             0        3.9819
         0.09             0             0       2.24435
