#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06578e-06   2.74419e-11       2.52937
         0.02   1.01893e-05   2.83898e-11       4.32608
         0.03   1.30261e-05   3.01981e-11       5.51542
         0.04    9.1469e-06   2.58111e-12       6.19101
         0.05  -3.86196e-11  -1.91918e-11       6.40985
         0.06  -9.14693e-06  -2.54031e-11       6.19101
         0.07  -1.30261e-05  -3.16162e-11       5.51542
         0.08  -1.01893e-05  -3.48651e-11       4.32608
         0.09  -4.06592e-06  -4.68042e-12       2.52937
          0.1             0             0             0
