#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.00637e-06   1.23448e-07       2.52936
         0.02    9.9491e-06   8.58002e-08       4.32608
         0.03   1.27863e-05   6.27576e-08       5.51543
         0.04   9.01961e-06   7.87764e-08       6.19102
         0.05   5.80695e-08   8.96626e-08       6.40986
         0.06   -8.9283e-06   7.47682e-08       6.19101
         0.07  -1.27299e-05   5.74023e-08       5.51541
         0.08   -9.9069e-06   8.00792e-08       4.32605
         0.09  -3.98881e-06   1.13014e-07       2.52935
          0.1             0             0             0
