#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06588e-06   7.13929e-12       2.52937
         0.02   1.01892e-05  -5.83869e-11       4.32608
         0.03   1.30258e-05  -7.60347e-11       5.51542
         0.04   9.14677e-06  -2.57384e-11       6.19101
         0.05   1.87144e-11   3.81206e-11       6.40985
         0.06   -9.1468e-06   5.81918e-11       6.19101
         0.07  -1.30259e-05   3.26369e-11       5.51542
         0.08  -1.01892e-05  -2.52414e-12       4.32608
         0.09  -4.06581e-06   5.09549e-12       2.52937
          0.1             0             0             0
