#           z             p
            0       44.8891
          0.1       44.5806
          0.2       43.9777
          0.3       43.4361
          0.4       42.9386
          0.5       42.4381
          0.6        41.942
          0.7       41.4532
          0.8       40.9684
          0.9       40.4861
            1       40.0065
          1.1       39.5303
          1.2       39.0575
          1.3       38.5875
          1.4       38.1199
          1.5       37.6545
          1.6        37.191
          1.7       36.7292
          1.8        36.269
          1.9       35.8102
            2       35.3529
          2.1        34.897
          2.2       34.4422
          2.3       33.9885
          2.4       33.5358
          2.5       33.0841
          2.6       32.6333
          2.7       32.1833
          2.8        31.734
          2.9       31.2854
            3       30.8375
          3.1       30.3902
          3.2       29.9434
          3.3       29.4972
          3.4       29.0515
          3.5       28.6063
          3.6       28.1615
          3.7       27.7171
          3.8        27.273
          3.9       26.8294
            4        26.386
          4.1        25.943
          4.2       25.5002
          4.3       25.0577
          4.4       24.6154
          4.5       24.1734
          4.6       23.7316
          4.7         23.29
          4.8       22.8485
          4.9       22.4073
            5       21.9662
          5.1       21.5253
          5.2       21.0845
          5.3       20.6438
          5.4       20.2033
          5.5       19.7629
          5.6       19.3226
          5.7       18.8824
          5.8       18.4423
          5.9       18.0023
            6       17.5624
          6.1       17.1226
          6.2       16.6828
          6.3       16.2432
          6.4       15.8035
          6.5        15.364
          6.6       14.9245
          6.7       14.4851
          6.8       14.0457
          6.9       13.6064
            7       13.1671
          7.1       12.7279
          7.2       12.2887
          7.3       11.8495
          7.4       11.4104
          7.5       10.9713
          7.6       10.5323
          7.7       10.0933
          7.8       9.65424
          7.9       9.21526
            8        8.7763
          8.1       8.33735
          8.2       7.89843
          8.3       7.45953
          8.4       7.02064
          8.5       6.58178
          8.6       6.14293
          8.7        5.7041
          8.8       5.26527
          8.9       4.82646
            9       4.38764
          9.1       3.94884
          9.2       3.51005
          9.3       3.07128
          9.4       2.63251
          9.5       2.19374
          9.6       1.75499
          9.7       1.31624
          9.8      0.877491
          9.9      0.438747
           10             0
