#           x         yPlus
            0       2.14642
         0.01       2.60877
         0.02       3.28638
         0.03       3.61467
         0.04       3.77779
         0.05       3.82787
         0.06       3.77779
         0.07       3.61467
         0.08       3.28637
         0.09       2.60877
          0.1       2.14642
