#           x             y             z           U_x           U_y           U_z
  3.22679e-18             0             8             0             0             0
         0.01          0.01             8   1.39373e-06   1.38559e-06       1.12454
         0.01          0.01             8   1.39373e-06   1.38559e-06       1.12454
         0.02          0.02             8   5.79936e-06   5.79313e-06       3.00927
         0.02          0.02             8   5.79936e-06   5.79313e-06       3.00927
         0.03          0.03             8   1.01225e-05   1.01354e-05       4.77106
         0.03          0.03             8   1.01225e-05   1.01354e-05       4.77106
         0.04          0.04             8   8.50729e-06   8.53397e-06       5.98152
         0.04          0.04             8   8.50729e-06   8.53397e-06       5.98152
         0.05          0.05             8   5.80695e-08   8.96626e-08       6.40986
         0.05          0.05             8   5.80695e-08   8.96626e-08       6.40986
         0.06          0.06             8  -8.44182e-06  -8.41115e-06        5.9815
         0.06          0.06             8  -8.44182e-06  -8.41115e-06        5.9815
         0.07          0.07             8  -1.01022e-05  -1.00809e-05       4.77103
         0.07          0.07             8  -1.01022e-05  -1.00809e-05       4.77103
         0.08          0.08             8  -5.77943e-06  -5.77574e-06       3.00924
         0.08          0.08             8  -5.77943e-06  -5.77574e-06       3.00924
         0.09          0.09             8  -1.39376e-06  -1.39586e-06       1.12453
         0.09          0.09             8  -1.39376e-06  -1.39586e-06       1.12453
          0.1           0.1             8             0             0             0
