#           x         yPlus
       0.0025      0.411125
        0.005      0.546499
       0.0075      0.631703
         0.01       0.69469
       0.0125      0.744421
        0.015       0.78509
       0.0175      0.819054
         0.02      0.847789
       0.0225      0.872287
        0.025       0.89325
       0.0275      0.911191
         0.03      0.926499
       0.0325      0.939469
        0.035      0.950331
       0.0375      0.959263
         0.04      0.966402
       0.0425      0.971855
        0.045      0.975697
       0.0475      0.977981
         0.05      0.978739
       0.0525      0.977981
        0.055      0.975697
       0.0575      0.971855
         0.06      0.966402
       0.0625      0.959263
        0.065      0.950331
       0.0675      0.939469
         0.07      0.926499
       0.0725      0.911191
        0.075       0.89325
       0.0775      0.872287
         0.08      0.847789
       0.0825      0.819054
        0.085       0.78509
       0.0875      0.744421
         0.09       0.69469
       0.0925      0.631703
        0.095      0.546499
       0.0975      0.411125
