#           x           U_x           U_y           U_z
            0             0             0             0
         0.01    4.0659e-06    -3.992e-12       2.52937
         0.02   1.01892e-05  -6.87982e-11       4.32608
         0.03   1.30258e-05  -6.03636e-11       5.51542
         0.04   9.14681e-06   6.95373e-12       6.19101
         0.05   3.74411e-11   5.68717e-11       6.40985
         0.06  -9.14682e-06   5.76967e-11       6.19101
         0.07   -1.3026e-05   2.56059e-11       5.51542
         0.08  -1.01892e-05  -6.66288e-12       4.32608
         0.09  -4.06584e-06   4.28809e-12       2.52937
          0.1             0             0             0
