#           x         yPlus
            0       2.14644
         0.01       2.60879
         0.02        3.2864
         0.03       3.61469
         0.04        3.7778
         0.05       3.82788
         0.06        3.7778
         0.07       3.61469
         0.08        3.2864
         0.09       2.60879
          0.1       2.14644
