#           x           U_x           U_y           U_z
            0             0             0             0
         0.01   4.06581e-06   6.16625e-13       2.52937
         0.02   1.01892e-05  -2.04976e-11       4.32608
         0.03    1.3026e-05   9.81176e-12       5.51542
         0.04    9.1469e-06   4.20036e-11       6.19101
         0.05   3.19587e-11   5.14124e-11       6.40985
         0.06  -9.14687e-06   3.96348e-11       6.19101
         0.07   -1.3026e-05   1.34847e-11       5.51542
         0.08  -1.01893e-05  -9.83757e-12       4.32608
         0.09  -4.06587e-06   5.37291e-12       2.52937
          0.1             0             0             0
